mti,processingCode,transactionAmount,dateTimeTransaction,cardholderBillingConversionRate,stan,timeLocalTransaction,dateLocalTransaction,expiryDate,conversionDate,merchantCategoryCode,posEntryMode,acquiringInstitutionCode,forwardingInstitutionCode,rrn,cardAcceptorTerminalId,cardAcceptorId,cardAcceptorNameLocation,cardBalance,additionalData48,transactionCurrencyCode,cardholderBillingCurrencyCode,posDataCode,originalDataElement,channel,encryptedPan,network,dcc,kitNo,factorOfAuthorization,authenticationScore,contactless,international,preValidated,enhancedLimitWhiteListing,transactionOrigin,transactionType,isExternalAuth,encryptedHexCardNo,isTokenized,entityId,moneySendTxn,mcRefundTxn,mpqrtxn,authorisationStatus,latitude,longitude
21,9,77,2090-03-12 15:30:58.000988,85,83,67,55,71,91,76,43,69,93,90,62,55,50,20,28,17,86,50,76,0,18,30,58,72,25,51,44,95,5,18,16,89,60,63,39,36,41,23,22,71,-31.936959001369004,-111.90993969647792
46,90,25,1933-06-20 01:41:59.006901,34,47,60,13,51,86,63,4,79,58,62,47,71,50,10,25,78,41,72,100,18,83,59,50,66,62,1,25,6,16,62,1,51,14,58,82,94,37,56,2,98,2.8791961066432066,172.85638764578295
17,49,36,2095-06-02 08:45:19.009657,47,67,30,30,69,67,40,10,44,77,70,25,0,51,79,18,45,10,58,93,79,26,60,99,93,93,40,28,99,28,68,54,79,61,59,10,42,22,25,64,74,-87.31985987241387,76.49521375697816
60,96,85,2055-12-18 09:43:27.008317,13,47,28,30,56,26,14,10,82,51,66,86,36,67,87,95,24,40,81,77,0,10,94,52,52,59,77,82,78,27,16,68,50,80,38,18,31,21,15,58,10,-54.47850364126519,161.9950622798317
18,67,68,1906-01-10 01:23:47.009270,35,1,67,87,14,72,48,5,85,59,36,17,13,62,8,100,10,63,63,99,11,92,53,10,27,43,97,74,76,47,78,100,68,20,94,78,39,1,98,31,38,-47.146755419407576,-35.27105095957211
98,59,90,1914-12-01 13:34:07.003829,52,19,5,15,3,82,87,29,31,91,52,64,42,96,19,40,22,90,9,26,76,47,19,69,30,16,80,24,24,56,42,54,68,76,71,48,51,87,48,100,75,-27.4659733082825,89.23866377232576
24,60,19,1971-02-27 11:23:19.000744,42,8,22,24,16,77,57,37,81,92,92,2,53,78,59,33,63,51,18,64,12,95,21,54,43,10,11,31,73,4,17,41,73,23,46,97,32,63,83,35,13,-62.996142524867494,-80.93772163329909
37,77,4,1916-08-04 01:56:06.000594,35,81,11,94,66,49,99,30,30,81,95,34,68,0,97,27,65,94,61,8,46,85,5,74,44,59,40,13,61,50,90,51,53,55,62,7,58,51,2,12,95,-79.53764410701906,40.07172317984333
47,79,97,1944-05-28 18:44:50.002544,23,8,84,50,3,78,4,47,84,58,37,69,22,49,42,68,27,77,31,16,14,17,13,55,21,9,100,58,30,67,15,23,82,67,34,94,12,32,6,93,1,-12.545128077441277,-10.179738942054684
19,70,50,2094-10-05 22:21:38.002088,54,96,28,76,88,7,54,66,43,3,39,47,42,25,24,27,47,11,12,37,47,2,82,64,54,9,91,65,7,26,47,40,72,71,98,64,16,71,18,90,28,2.521645375383784,2.149001627998473
30,63,76,2050-02-08 07:21:16.005814,35,57,1,59,71,29,79,34,4,93,43,50,44,25,74,53,60,100,93,23,30,97,11,24,9,10,39,87,79,4,93,56,82,59,93,26,84,19,54,0,84,-52.56611037755049,148.9011095821404
70,10,80,2027-10-08 19:54:12.005567,82,89,72,17,28,32,29,3,55,90,61,94,14,18,61,89,28,43,98,63,70,45,30,41,97,90,90,11,57,13,19,79,34,89,51,91,18,93,73,60,86,-60.9353461027924,70.815339763069
30,56,94,1965-04-17 02:16:40.002831,97,17,87,97,59,41,34,42,70,9,35,98,24,89,63,15,19,68,0,25,76,87,10,72,40,89,51,11,1,73,5,9,64,20,95,9,57,99,21,71,91,-25.174116491621675,7.474836971775801
2,0,13,1919-03-18 18:44:37.000022,42,91,15,69,25,40,90,37,63,63,2,99,82,8,96,17,80,5,63,64,26,89,14,41,94,12,12,1,31,69,86,39,22,12,85,59,11,55,25,48,96,4.108537226771958,-83.96295732050648
45,83,10,1982-01-28 00:52:01.008888,5,76,100,85,86,19,3,26,40,24,49,28,14,12,63,70,73,22,71,73,66,77,65,51,34,8,40,2,48,84,15,29,39,1,78,12,30,60,48,68,64,82.05919064698759,-93.98242473576319
96,21,77,2047-01-23 17:54:41.002722,7,67,17,16,54,38,76,64,84,52,72,5,3,34,73,12,83,58,25,13,87,61,83,72,39,21,47,76,34,25,33,58,45,71,19,23,40,27,0,48,56,5.058270403978824,98.2760219827673
58,68,78,1995-04-25 09:20:14.004148,6,32,81,75,15,3,90,23,98,46,22,37,70,74,93,69,56,22,4,92,38,90,5,63,98,12,26,4,79,34,76,45,12,57,69,50,65,64,86,1,74,22.246570966642125,-131.19652463539543
73,88,23,2056-02-06 00:16:21.005362,79,36,35,65,73,68,50,66,81,44,17,25,65,56,98,64,14,7,64,47,69,50,26,10,11,98,85,65,80,98,72,85,87,46,37,10,42,29,32,28,61,-40.65897155177434,-118.18006777255326
25,41,0,2029-05-20 18:24:42.009291,20,17,36,8,50,60,10,94,59,99,70,6,21,43,44,51,58,21,99,84,65,68,56,8,72,86,31,33,14,68,5,3,52,2,9,99,3,61,55,29,77,-52.23707218291909,-157.80337813691233
69,100,58,2004-11-10 08:29:32.007856,42,49,79,100,68,13,95,50,83,18,43,95,96,82,62,29,25,55,88,93,40,7,83,71,82,45,51,7,31,27,25,57,87,65,40,99,44,27,44,78,12,53.71667941411383,-77.72335553411989
17,78,65,1947-01-27 11:21:13.006280,67,75,61,99,97,51,79,26,66,89,85,83,90,19,80,40,19,13,35,6,34,44,8,26,7,56,79,58,100,97,89,92,18,50,53,3,5,47,43,53,3,51.439035525314665,-117.54117828332544
58,17,16,1939-09-01 00:35:06.004986,10,7,42,39,58,50,70,13,9,85,87,42,100,4,65,5,68,50,1,7,78,68,27,16,75,92,25,82,29,84,8,0,98,15,78,50,96,27,100,47,43,62.41013157624286,4.824610262531706
90,51,96,1918-11-16 00:50:52.002240,0,50,54,66,89,92,95,24,62,80,69,49,20,14,93,70,43,88,5,63,96,61,100,34,31,48,62,37,7,73,77,99,99,0,60,79,43,88,100,33,10,28.227221465587377,138.08772371357878
38,93,73,2003-11-12 18:06:44.002974,98,60,74,84,76,8,53,23,6,6,4,28,29,63,83,79,85,3,99,79,78,96,28,51,79,62,69,37,11,42,10,13,61,64,41,74,58,89,42,62,97,54.618274734471925,15.16092725723226
12,26,87,1960-07-26 16:18:42.007338,55,17,65,68,55,56,92,58,43,88,74,56,50,64,97,21,46,50,22,68,92,30,85,51,29,17,30,69,52,92,66,70,13,53,82,24,42,76,16,74,10,-32.49636605998354,21.921870888409273
13,2,48,2030-09-04 11:19:14.004555,32,78,100,34,19,9,24,67,17,50,18,94,85,72,36,29,97,39,55,86,3,22,34,74,20,99,31,83,59,13,37,14,11,64,76,55,49,65,48,53,28,52.37405623393215,116.44519251250159
36,80,79,1954-10-28 01:45:47.006804,79,95,4,18,27,15,39,45,52,11,52,77,14,22,98,85,33,52,89,31,18,57,66,36,88,1,76,66,94,96,67,13,23,72,50,29,1,29,94,65,100,-79.12603104541782,148.47419634776577
42,72,54,1988-06-04 21:42:00.000658,56,4,67,48,29,46,24,35,51,16,57,64,56,6,94,12,87,29,39,53,53,43,31,90,99,95,9,75,30,61,92,47,78,43,20,3,69,1,51,59,33,38.20841421918621,-131.29080786442847
34,8,47,2028-01-04 02:30:35.008652,99,4,54,5,2,88,54,6,72,53,62,9,58,25,42,77,78,21,16,43,99,75,52,63,3,61,68,9,77,68,80,3,80,91,59,34,15,16,6,7,84,66.38150314487731,-154.85564124186143
81,78,64,1988-05-09 03:23:46.003520,95,85,39,32,38,69,19,56,80,14,87,35,67,64,70,99,21,22,36,15,30,24,89,59,37,87,49,57,72,50,43,10,53,3,36,84,63,69,46,17,22,50.779333381795254,-176.51941764043517
28,68,18,2058-01-07 13:40:36.007094,28,67,35,24,27,60,81,43,31,78,28,57,68,0,57,25,11,34,38,26,27,28,57,3,42,72,83,44,8,78,49,100,94,99,85,47,62,50,28,11,49,83.55481543925498,-118.12158138129888
74,10,33,1998-08-05 02:54:45.006989,0,96,55,6,94,14,34,49,98,35,95,20,26,100,18,21,51,56,53,24,25,41,77,41,16,52,79,14,13,94,2,10,9,40,24,6,46,21,47,45,27,-57.94988686374488,75.99087330691617
35,65,93,1938-07-28 05:35:45.003938,79,74,82,57,29,98,30,11,47,1,48,88,70,26,47,26,84,12,65,66,64,31,49,48,96,70,15,28,79,7,76,31,50,5,19,54,66,61,39,53,33,-56.2489744144881,-100.21989804676284
88,82,76,2086-09-24 14:27:29.002088,72,84,65,16,13,99,56,48,56,41,19,60,13,9,5,68,55,42,63,88,10,10,75,89,39,99,50,1,60,85,47,44,99,79,52,37,46,55,23,58,88,75.57536474503263,170.8158324842521
76,91,2,2077-01-17 07:38:11.005344,84,74,2,16,38,38,92,47,34,92,9,4,53,39,60,19,75,1,98,64,47,0,97,58,43,43,30,66,33,31,77,81,40,68,61,14,52,78,22,87,75,71.05167153216183,-28.823395751587867
45,86,81,2083-09-12 04:11:00.000655,13,71,65,72,23,90,28,91,48,46,45,38,23,53,9,86,80,26,67,48,31,22,7,73,72,38,100,23,59,83,49,27,20,22,4,36,15,3,30,54,82,-57.287702730290256,-40.52827436747137
7,86,78,1975-03-22 10:16:23.001588,16,99,49,69,62,64,79,39,81,33,37,21,57,32,62,31,55,69,55,51,83,71,62,35,71,99,14,27,61,9,54,24,34,25,4,46,43,72,53,9,39,-89.34327760316278,-26.622170338280313
38,37,10,2082-12-22 04:49:05.003316,72,93,40,33,61,18,76,67,59,15,30,26,37,22,38,49,91,44,71,90,40,68,36,39,97,21,76,20,84,57,55,33,48,66,7,83,34,97,50,37,34,-9.059843654943904,-43.36208697494092
41,90,30,1999-07-04 14:13:23.000916,26,62,64,2,34,38,82,78,29,44,51,22,88,57,38,36,91,26,67,70,91,13,17,82,96,27,20,18,77,74,13,55,78,28,85,18,5,5,79,11,16,-88.97275128734306,104.53591105724956
26,23,11,1964-12-03 00:03:42.004177,10,53,76,27,86,39,56,10,20,23,68,44,96,78,58,92,66,25,58,8,20,5,48,76,24,47,76,45,61,64,63,28,3,22,86,49,99,70,22,86,25,-11.989929794604592,150.10146478778972
1,95,43,2020-09-26 02:32:44.003924,35,28,65,22,29,48,55,66,30,38,33,50,22,55,0,79,27,62,79,84,36,75,74,88,38,19,33,69,54,25,48,36,52,100,92,3,34,62,49,92,55,67.84666354581867,-16.48307412535732
11,39,34,1931-03-21 09:07:40.002387,71,100,49,46,62,86,18,64,62,66,49,99,51,36,99,36,12,78,8,44,9,83,60,9,31,92,24,56,3,36,38,71,40,14,90,3,80,55,38,27,10,-79.61754410790222,-148.64628017065303
27,38,67,1975-08-01 22:23:03.006230,60,13,74,28,55,53,85,86,54,35,47,100,7,91,15,64,56,83,50,5,47,8,1,29,91,86,78,9,98,31,50,21,94,35,89,77,48,100,79,12,91,71.19891313159332,68.84185352719624
89,91,56,1985-06-24 23:55:56.005324,76,86,82,99,65,26,95,62,26,100,69,0,91,64,80,42,36,45,65,23,6,73,2,70,66,51,22,40,76,62,20,15,66,70,79,25,16,71,53,68,78,-50.36771171502678,-62.52750796515794
15,74,52,1994-09-23 07:10:09.000952,72,97,9,13,70,56,17,81,76,12,51,1,93,80,93,69,24,85,19,80,2,33,0,63,96,32,80,14,70,80,37,67,75,85,10,19,4,10,24,85,10,69.32542818307112,-143.15276945628153
89,67,11,1934-03-01 15:03:45.008008,36,90,82,20,19,25,81,54,30,52,97,84,19,5,61,23,72,19,8,96,4,68,72,80,17,39,95,43,15,3,81,93,96,58,65,15,55,60,12,5,72,-60.62589789500757,-20.824637012052676
98,13,60,1958-09-18 22:44:11.005599,52,14,18,17,80,55,2,9,83,53,96,20,60,76,41,85,13,29,31,30,3,18,60,19,99,38,42,0,11,29,32,34,95,38,30,38,31,19,10,91,61,-65.98549743405201,-96.5562652034758
51,49,7,1903-10-21 21:04:10.002137,61,97,17,86,71,58,58,15,47,92,39,91,96,15,48,86,51,78,40,41,85,55,94,61,92,78,57,57,34,23,84,74,32,5,47,60,10,51,79,19,77,-8.655739829892639,-132.14916235987866
39,31,30,2014-08-23 14:23:26.002309,60,24,72,30,67,49,9,71,68,94,24,64,80,60,66,8,5,53,98,8,68,5,53,61,35,49,17,68,93,82,63,87,47,24,56,14,19,66,62,41,43,53.8426029063385,66.55784534224378
12,15,70,1946-02-13 06:52:57.006289,85,72,99,89,70,4,4,39,54,95,75,87,23,30,87,50,59,12,52,47,17,55,67,22,10,94,81,41,54,94,5,48,58,73,23,47,76,12,79,10,13,45.37073360317592,84.28231314479757
25,71,94,2100-03-22 12:47:49.000404,79,60,14,32,21,59,43,93,5,37,72,60,23,2,11,20,75,37,68,29,62,71,16,30,61,87,34,38,13,44,81,0,93,18,76,16,21,51,14,89,48,68.531420207324,-132.20325052031436
21,67,96,2012-06-25 10:42:58.009844,93,20,3,37,40,7,89,100,85,31,72,4,90,58,58,59,63,96,33,44,2,7,47,36,24,32,37,49,38,29,47,8,51,12,97,62,48,44,94,35,78,-66.75921676682182,-124.04076708689287
45,41,20,2097-07-16 00:45:33.009531,87,97,39,95,66,9,12,55,24,62,56,98,44,13,87,90,17,21,55,26,61,57,24,27,75,24,69,8,59,60,80,42,25,11,69,12,9,43,76,84,52,32.52805830817651,-5.160490015651845
46,37,7,2070-10-22 17:49:47.006855,58,67,70,49,13,41,43,35,59,72,98,68,1,25,100,99,51,72,61,57,41,59,24,24,84,62,8,55,36,98,54,29,28,88,0,41,10,80,51,66,76,-57.40498028096463,-145.26412131696958
59,43,99,2056-09-25 21:36:35.002331,3,55,74,43,73,17,86,15,86,0,26,29,35,21,77,50,1,91,72,58,82,28,78,15,13,22,44,100,75,79,41,58,50,92,27,74,50,75,91,82,35,17.80095486520686,153.45429657456884
47,76,1,2048-01-05 04:26:21.002551,73,15,17,45,57,34,44,5,62,55,7,47,80,75,77,95,63,37,69,82,2,64,53,6,91,23,30,54,34,85,80,71,20,9,65,90,97,4,94,77,84,-28.355970015966257,-15.849575288290765
68,13,26,1943-10-07 03:58:38.004384,20,88,27,81,66,97,53,28,14,53,27,70,57,39,61,36,66,92,5,50,80,23,80,10,45,20,36,6,40,92,19,73,29,18,21,74,27,64,85,31,70,-38.477288431425194,128.49485730960362
36,64,69,1904-05-18 03:28:25.004506,50,5,95,55,15,8,84,73,20,94,45,41,83,48,40,52,67,82,94,55,92,55,6,40,29,49,63,88,59,19,79,92,31,94,81,63,78,55,51,32,50,-56.818370886740425,79.2414959268047
99,42,45,2079-01-17 12:56:19.006629,14,80,13,35,35,81,46,18,36,14,89,47,15,9,7,73,86,3,95,41,38,64,79,17,87,63,92,82,80,97,58,18,3,58,10,85,89,83,90,50,80,-5.535866257954794,-103.46516798827614
47,76,87,1959-01-21 03:57:55.000013,40,76,65,19,40,28,65,16,69,95,17,3,53,77,22,51,34,87,98,41,30,43,46,65,56,72,91,23,87,68,4,46,78,67,77,66,49,13,36,87,68,-12.912128926181595,-54.23708464473387
51,32,93,1970-01-20 16:10:12.002471,43,30,35,8,69,74,92,18,75,20,94,76,73,82,77,1,58,43,63,6,88,85,13,11,42,12,36,12,86,95,5,25,20,50,49,89,21,57,24,36,44,80.0846275580551,49.88870281442155
56,28,20,2052-06-25 17:16:00.003486,4,10,59,88,81,12,73,52,80,3,93,90,84,49,26,34,64,25,94,45,64,46,32,91,44,59,50,27,34,67,75,2,20,23,85,54,67,38,17,37,73,-47.62158303419884,120.70924161961926
8,37,92,1930-11-04 07:20:07.008367,94,50,44,58,66,53,31,14,23,35,40,69,53,82,11,4,10,48,77,31,91,2,83,85,83,76,52,100,83,2,71,60,96,92,77,60,62,26,15,80,35,-56.67426844145089,-75.40213116962825
66,99,83,2040-01-27 17:06:36.009239,28,42,69,81,4,85,42,13,74,64,85,99,0,16,80,29,81,89,95,1,69,61,33,47,70,44,26,43,57,94,60,75,91,20,66,14,54,53,46,1,75,-0.5021272860696939,-144.64709887457644
74,97,53,2087-09-14 05:52:47.005543,18,17,74,70,61,94,50,67,96,11,93,4,64,18,32,13,68,52,51,64,82,40,80,48,85,37,36,3,100,52,42,47,45,49,77,28,45,94,51,50,10,-29.93151791683116,-64.43713035101442
15,43,92,1979-12-12 08:15:41.000749,12,22,97,82,17,16,0,67,48,55,96,31,31,52,19,17,72,36,1,17,96,9,97,25,50,74,17,18,3,20,58,82,85,88,1,49,80,69,25,48,10,-81.24007233579567,129.67601369472015
98,27,92,1970-11-04 09:20:39.007005,59,11,58,87,42,83,58,49,40,54,88,42,95,42,96,62,64,33,7,63,2,13,73,97,1,94,32,99,27,14,97,16,91,45,37,97,86,24,98,25,82,-47.672644147068326,-112.71375548030886
89,58,65,1931-09-24 07:11:52.004326,78,17,23,75,57,75,0,39,51,65,95,43,95,12,75,8,16,75,25,60,57,66,44,52,31,57,46,26,38,27,6,65,3,76,75,9,67,96,93,92,51,12.849933333122436,52.67215833380797
77,42,77,1977-05-12 22:04:48.007143,32,17,97,31,39,52,94,54,60,25,33,82,66,24,33,88,8,79,95,31,89,91,89,53,61,6,43,84,91,49,73,30,75,58,32,95,63,76,57,83,22,52.031157719647155,-171.94380033545815
96,29,69,1941-06-12 11:24:02.000129,3,61,20,66,4,28,16,56,64,61,69,21,82,65,64,24,28,66,3,75,55,63,98,92,48,81,10,75,51,79,34,99,50,4,47,52,47,89,19,24,42,59.136996897781415,166.47290774180124
53,61,15,1981-07-08 11:17:22.002922,62,85,40,71,70,53,39,68,88,85,66,45,23,14,5,88,89,79,8,49,91,34,11,37,32,19,71,3,60,65,62,16,32,38,62,15,13,29,12,88,74,48.44535991141049,-10.332944880106936
64,16,64,2024-04-06 08:42:37.001088,78,96,52,28,65,84,16,76,39,43,40,8,50,88,5,98,84,86,82,28,48,35,85,60,99,52,64,96,24,12,89,98,28,7,72,89,37,85,48,17,95,14.836557809843512,-136.6624836216219
89,37,14,2093-05-02 04:33:16.002026,87,21,29,52,36,44,19,77,35,64,30,48,3,1,93,89,64,68,91,8,15,93,93,20,26,27,34,91,22,88,42,81,44,96,59,83,2,85,0,66,44,-51.78438176481444,28.60254246316424
34,3,55,1952-12-28 17:47:10.000131,91,100,92,22,21,16,92,28,56,10,69,26,33,27,6,12,8,6,92,65,99,85,71,68,58,12,55,34,55,91,44,44,93,17,74,75,14,94,37,61,80,77.73405717892308,-126.37052316700974
89,85,64,1962-09-18 10:52:25.002510,43,77,88,73,0,19,85,33,38,8,42,84,14,12,80,31,60,29,56,13,93,64,96,78,22,40,54,33,33,63,99,96,62,88,53,44,86,24,13,44,7,40.41664568027912,78.28091287891459
6,52,88,1972-01-20 17:49:03.005339,13,43,31,70,65,31,74,94,100,58,80,12,70,80,87,28,88,91,42,44,55,56,98,2,78,76,5,40,67,25,5,27,1,17,34,69,83,61,19,71,48,-80.39533830683277,100.58885202738338
38,73,57,1953-06-18 15:19:34.002880,89,58,38,83,13,40,2,2,27,5,30,8,86,53,7,30,74,1,77,98,76,0,87,4,12,8,36,14,61,87,82,2,97,51,80,75,35,37,92,68,39,29.01806282400979,-58.603029515180964
24,51,68,2060-09-23 09:37:16.000988,0,96,57,38,77,36,16,22,89,46,56,21,92,16,96,50,39,72,6,30,24,36,55,60,27,70,23,59,65,49,29,85,4,99,54,46,52,13,100,91,32,-88.42854899798382,-138.52085624314563
69,70,42,2020-11-19 20:44:17.004887,36,56,12,77,63,74,49,5,26,48,34,83,44,98,50,94,54,34,72,61,51,54,5,22,41,4,95,69,74,49,10,82,67,43,24,99,99,52,87,29,48,-68.23581293891695,-108.58037726175566
40,80,42,2070-04-14 07:23:42.007555,79,90,60,83,84,77,41,45,61,11,56,72,44,88,12,43,67,77,61,42,67,20,0,16,88,65,72,40,37,23,35,27,92,100,34,97,78,70,22,2,96,-52.97614346291344,-95.81577117379499
80,51,13,2062-05-02 05:53:17.008954,27,96,51,42,49,72,4,50,48,93,78,21,2,67,45,6,16,41,33,5,59,56,99,3,6,30,79,36,88,69,21,80,66,57,82,81,7,95,15,63,34,-83.06076756178216,-121.09556565704295
68,15,15,2049-06-25 05:51:16.009497,6,48,33,78,76,96,82,15,9,58,46,59,20,64,76,77,61,18,91,54,19,98,33,5,52,64,19,79,71,91,48,60,48,1,58,24,79,6,58,78,29,64.94447927405304,119.08442974733794
98,55,10,2006-03-19 05:52:26.005715,29,39,50,15,80,94,44,3,12,22,24,67,77,68,4,94,51,95,77,9,50,4,43,99,9,38,48,49,80,20,96,22,70,43,66,88,91,46,1,14,47,-56.73444167649667,-168.01884560732105
71,34,89,1935-07-01 02:03:16.008343,78,88,17,51,38,53,60,36,38,72,96,76,99,4,75,80,64,42,1,30,49,83,76,1,38,25,75,90,71,8,28,83,45,85,17,98,65,50,77,71,59,63.83758295034943,-82.2633976315611
21,29,39,1942-05-19 22:14:16.006012,70,52,63,75,0,45,53,91,22,78,13,7,58,17,83,60,78,5,96,77,43,44,100,54,15,58,9,88,8,77,90,42,43,79,12,50,88,13,9,62,47,9.539551823223931,-116.1892266117153
42,80,94,2080-09-07 14:58:36.007137,95,7,44,93,62,98,98,87,69,10,60,44,46,67,4,38,16,97,73,58,54,82,58,40,14,1,14,64,15,45,45,76,55,13,82,12,67,60,92,60,13,-54.78115890425934,-111.71196763349484
80,94,59,1902-02-14 15:04:47.001040,29,44,18,41,0,48,68,76,56,60,29,29,97,10,74,88,72,18,89,63,6,72,85,73,80,53,43,86,85,23,6,79,6,17,19,81,20,61,23,12,33,-83.02161927092351,162.49542489066198
87,47,27,1960-03-04 19:06:54.009603,88,13,79,89,100,3,47,18,20,77,22,42,98,73,95,17,8,72,12,89,18,30,86,41,30,0,11,13,41,28,84,65,24,95,46,22,99,43,98,52,19,-35.22892600847627,129.67563773199748
28,35,75,2063-05-19 22:56:04.001893,90,49,80,37,6,13,86,47,49,14,86,40,9,34,99,32,74,7,44,18,6,100,92,66,37,51,38,84,57,25,16,84,59,21,65,54,47,16,41,21,22,-41.40254197845916,-29.764795844596847
74,11,41,2064-08-25 08:46:45.005348,58,97,35,67,62,20,71,68,31,78,65,68,27,0,85,85,54,83,28,78,64,57,86,81,30,82,45,29,18,93,34,15,29,14,58,85,32,15,74,72,40,-62.768332969499184,25.41097348100186
69,53,51,1957-04-12 23:13:43.008628,77,42,13,16,65,25,17,72,79,32,21,2,81,6,1,57,21,3,86,91,6,23,24,100,86,62,0,77,96,5,46,15,87,12,92,81,41,49,8,1,81,-50.338092130106006,91.15861728525783
26,14,49,2088-03-09 19:46:21.009152,24,3,94,59,44,33,66,97,73,48,35,83,29,28,32,42,46,88,50,79,89,89,6,81,15,56,59,56,66,44,26,32,3,29,51,47,40,85,84,10,37,-17.428693640743248,59.70919664653579
50,66,27,2012-04-07 00:25:31.004980,2,2,33,45,0,71,10,92,35,53,92,12,55,44,39,39,97,88,92,77,65,73,19,52,29,39,33,68,43,12,84,55,52,85,0,100,34,43,2,41,57,-28.4170772324577,-74.17095962647262
78,43,18,1971-01-26 23:46:23.002382,81,59,44,0,97,47,43,43,18,23,100,19,17,73,74,12,84,32,52,74,90,9,88,58,83,69,44,40,61,34,64,68,36,67,65,75,40,22,89,58,50,-83.02905942019852,116.2954175020663
55,64,33,2045-03-27 08:52:14.002614,65,83,54,49,48,54,2,86,57,20,79,20,22,1,19,61,73,93,87,47,52,3,11,95,35,36,3,62,20,53,58,4,57,22,40,40,99,15,83,81,0,-62.570599901237564,-138.30195895174538
38,57,90,1902-07-28 05:10:02.000264,2,57,87,42,95,7,24,82,49,48,56,100,68,86,17,14,3,85,73,74,68,83,11,7,59,43,64,65,25,75,63,17,91,9,89,33,33,57,37,25,28,50.78925660404843,-72.62123144494115
61,59,43,2035-01-28 18:26:55.007414,65,21,82,58,70,80,15,72,46,29,3,34,16,16,97,58,29,7,61,38,94,19,100,77,97,93,83,45,95,43,30,17,73,97,70,54,87,75,100,64,76,63.906336553714,-92.4486181528396
80,36,55,1904-04-02 04:36:03.006738,78,14,66,90,58,69,22,75,41,9,36,65,92,55,10,66,100,58,98,74,7,7,53,41,78,15,41,62,14,54,15,98,31,84,76,35,21,38,30,86,6,17.664898924947707,13.33594369608889
45,30,67,2094-03-14 12:36:35.002467,92,23,55,13,96,70,97,91,27,67,22,51,19,49,10,35,34,1,4,25,65,43,49,18,31,3,38,98,90,9,39,75,24,59,27,28,81,31,37,62,19,-52.72979329653018,40.766024370345946
46,67,76,1928-11-16 18:52:53.009055,10,67,94,36,64,0,44,69,17,16,19,50,86,49,80,61,81,37,89,66,74,29,81,45,77,17,5,87,46,98,11,39,1,65,15,8,25,18,76,10,35,-69.84283631948658,18.308522902093074
36,11,11,2061-01-26 10:12:01.005774,58,82,43,72,23,55,74,52,98,94,68,28,27,58,46,63,58,29,51,18,22,33,95,20,83,49,62,12,17,67,32,93,79,47,96,21,72,81,30,62,6,-63.58106958489975,145.5351866467197
33,43,45,1996-07-16 11:06:36.009744,23,6,80,16,76,16,65,34,68,30,12,40,25,74,81,59,90,18,12,4,42,59,73,61,15,47,46,54,85,11,77,33,77,17,95,68,10,58,3,36,92,16.570731327142525,-85.14827856285812
42,50,75,1974-09-23 09:15:32.008107,65,90,48,40,77,42,53,65,72,69,97,35,2,61,89,91,54,28,60,46,37,17,13,86,10,57,9,90,28,51,9,63,5,1,78,65,79,95,82,6,17,-2.3703151373503886,-4.3824700332699535
95,39,14,1967-05-24 12:10:22.006764,96,16,32,85,64,91,63,28,99,7,18,81,43,21,59,13,28,100,30,36,95,97,74,62,97,28,49,60,68,38,82,82,33,58,91,22,32,23,42,79,49,-5.892974175634947,-73.14003061832541
23,28,11,1920-03-17 13:49:31.006665,12,67,62,10,51,91,79,31,6,70,49,81,79,53,97,13,25,13,50,46,96,53,69,1,52,50,10,34,52,22,55,47,5,32,93,6,66,97,24,97,44,-55.63268521970207,103.49615513070029
14,41,51,1936-08-11 13:25:50.005852,41,57,65,88,77,57,35,66,5,21,71,80,60,44,56,14,42,6,62,60,69,36,18,41,22,55,67,77,4,22,14,61,30,53,59,68,73,19,17,84,8,79.39015649565891,100.58388055564893
3,63,76,2014-01-04 06:06:21.002640,30,48,28,66,24,58,16,64,30,32,42,71,13,18,70,2,54,79,91,69,51,85,12,95,9,44,39,1,64,67,91,63,84,91,42,99,91,77,5,41,73,-61.66732171720947,25.488584010260496
85,70,95,1948-09-21 07:02:23.007357,66,56,99,22,16,14,85,79,83,62,77,73,80,80,87,9,94,12,25,96,56,2,49,86,57,75,62,16,25,55,62,17,93,48,36,22,28,76,32,57,26,-60.439067516649374,109.10721626613747
56,86,99,2008-01-14 07:56:25.001133,54,81,41,86,29,31,64,0,74,74,24,13,25,30,91,78,99,39,87,0,6,60,60,30,93,59,69,42,18,89,72,44,42,7,86,44,28,45,62,94,73,-88.52383468966596,-105.05047567350522
52,82,45,1929-12-21 02:15:53.009429,35,0,64,72,86,45,27,30,96,61,36,58,24,57,34,92,29,93,46,25,92,42,35,8,67,7,92,40,10,82,6,95,22,96,44,40,98,67,38,35,77,-43.52758828783537,79.89201383334643
32,67,87,1984-09-18 18:44:37.002806,68,7,52,83,62,12,36,4,18,15,24,64,8,50,23,14,64,46,14,75,35,58,52,64,95,21,9,57,8,81,92,63,6,18,46,21,81,55,17,95,36,-17.654134796164115,-161.5771385333207
31,54,51,2100-09-25 15:56:36.009782,46,70,24,7,17,9,70,62,38,38,79,75,32,86,89,56,76,67,3,73,30,73,11,24,5,96,5,85,42,49,86,67,13,11,40,40,35,65,53,15,62,-76.34564123347191,55.23630056817785
